,lat_rnd,lon_rnd,fpi_date,elevation,fire_occurrence,max_fpi,min_fpi,avg_fpi,std_fpi,array_fpi,array_fod_lat,array_fod_lon,array_fpi_lat,array_fpi_lon,array_fod_id,rolled_up_rows,eng_release_comp_nfdrs,burning_index_nfdrs,daily_ref_evapotrans_mm,hundred_hour_dead_fuel_moist_percent,precip_amount_mm,max_relative_humidity_percent,min_relative_humidity_percent,specific_humidity_kg_kg,srad_wmm,temp_min_k,temp_max_k,mean_vapor_pressure_deficit_kpa,wind_speed_10m_m_s,month
count,3705780.0,3705780.0,3705780,3668550.0,3705780.0,3705780.0,3705780.0,3705780.0,3407875.0,3705780,3705780,3705780,3705780,3705780,3705780,3705780.0,3705780.0,3705780.0,3705780.0,3705780.0,3705780.0,3705780.0,3705780.0,3705780.0,3705780.0,3705780.0,3705780.0,3705780.0,3705780.0,3705780.0
unique,,,2190,,,,,,,1633732,18561,18501,9203,9203,20047,,,,,,,,,,,,,,,
top,,,2009-02-17,,,,,,,"[0, 0, 0]","[None, None, None, None]","[None, None, None, None]",[Decimal('38.988210604406250')],[Decimal('-122.990510766199220')],"[None, None, None, None]",,,,,,,,,,,,,,,
freq,,,1694,,,,,,,30346,1311865,1311865,2190,2190,1311865,,,,,,,,,,,,,,,
mean,39.803315091559654,-121.83517720965628,,909.1028253669706,0.005408038253754945,46.81193513916099,30.360876522621417,38.34184994791922,8.80168130892397,,,,,,,3.2972078752651264,40.47601671628693,31.966682510469877,3.7213203647054094,13.588208735427107,2.4922534783403862,77.21803415991026,35.326629196379734,0.005250102166930206,216.34980589887206,278.6160652511296,292.36634553293385,1.0037982652747461,3.751514166083231,6.52482878098538
std,1.3879732944646126,1.1353497131782764,,666.2434362787731,0.07334025380008743,22.57561826884825,19.905256723482847,20.471839697183604,6.342081098533178,,,,,,,1.0884213653418051,24.77036294272813,22.562570296405735,2.336888215234966,5.570377776976244,8.870877359782057,20.046878805378746,18.56634878152276,0.001979003520107006,100.21704403765584,6.790574906920674,9.545777908999128,0.8319094017521189,1.8444756444760229,3.448815354233961
min,37.0,-124.0,,-5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,-4.1094608604907995e-07,0.0,0.0,2.464072227478028,0.0,10.11415958404541,1.0,0.0005629138322547078,1.6029361486434937,249.4240875244141,259.60189819335943,0.0,0.2618147134780884,1.0
25%,38.7,-122.8,,285.0,0.0,31.0,17.0,24.0,3.9623225512317903,,,,,,,3.0,20.556949615478512,15.626511096954346,1.6465103030204773,8.850276231765747,0.0,62.121413230895996,20.875869750976562,0.003723406000062823,123.2514419555664,273.95120239257807,285.0959167480469,0.35285130143165594,2.5152297616004944,4.0
50%,39.9,-121.8,,872.0,0.0,47.0,27.0,37.0,7.588368291888139,,,,,,,3.0,37.94721984863281,32.43710136413574,3.2934305667877197,13.071674823760986,0.0,80.93538665771484,32.09002494812012,0.005084795877337457,213.34515380859372,278.83187866210943,291.86053466796875,0.7481535971164703,3.329848885536194,7.0
75%,41.0,-120.9,,1468.0,0.0,63.0,42.0,51.66666666666666,12.529964086141668,,,,,,,4.0,59.993236541748054,48.98872661590576,5.673399090766907,17.720151901245117,0.0,96.2172260284424,47.29535484313965,0.006615475751459599,314.13475036621094,283.5457763671875,299.9791564941406,1.4737291932106016,4.51195764541626,10.0
max,42.0,-120.0,,4000.0,1.0,99.0,99.0,99.0,65.76093065034893,,,,,,,76.0,106.44082641601562,135.56193542480472,15.825523376464846,32.547813415527344,294.25030517578125,100.0,100.0,0.016597846522927284,399.8198852539063,300.69830322265625,318.9482116699219,5.525482654571533,19.99106979370117,12.0
